
--------------- EPISODE 0 ---------------
[Stats] step = 0 FPS = 0.0
[RL] Updates 0, num timesteps 16384, FPS 607, time 26.957418203353882 
[RL] Updates 95, num timesteps 1572864, FPS 707, time 2222.5396535396576 
Weights 1.000_0.000, last 10 training episodes: mean/median length 121.3/109.0, mean/median reward 439.6/375.9, min/max reward 308.7/855.1
[RL] Updates 100, num timesteps 1654784, FPS 706, time 2340.583270549774 
Weights 1.000_0.000, last 10 training episodes: mean/median length 116.7/112.0, mean/median reward 442.8/431.1, min/max reward 281.6/674.1
[RL] Updates 105, num timesteps 1736704, FPS 706, time 2458.0371975898743 
Weights 1.000_0.000, last 10 training episodes: mean/median length 117.9/120.5, mean/median reward 432.6/446.6, min/max reward 177.1/634.7
[RL] Updates 110, num timesteps 1818624, FPS 705, time 2576.650110244751 
Weights 1.000_0.000, last 10 training episodes: mean/median length 150.7/149.5, mean/median reward 577.8/565.7, min/max reward 443.3/819.1
[RL] Updates 115, num timesteps 1900544, FPS 705, time 2694.5953528881073 
Weights 1.000_0.000, last 10 training episodes: mean/median length 142.6/123.5, mean/median reward 514.2/456.4, min/max reward 317.3/982.8
[RL] Updates 120, num timesteps 1982464, FPS 704, time 2815.1857624053955 
Weights 1.000_0.000, last 10 training episodes: mean/median length 152.2/147.0, mean/median reward 588.1/545.2, min/max reward 468.6/797.9
[RL] Updates 125, num timesteps 2064384, FPS 702, time 2936.8923892974854 
Weights 1.000_0.000, last 10 training episodes: mean/median length 153.2/140.5, mean/median reward 585.1/534.6, min/max reward 456.4/879.6
[RL] Updates 130, num timesteps 2146304, FPS 701, time 3058.3627994060516 
Weights 1.000_0.000, last 10 training episodes: mean/median length 166.4/173.5, mean/median reward 633.4/655.5, min/max reward 379.8/856.0
[RL] Updates 135, num timesteps 2228224, FPS 700, time 3179.6078090667725 
Weights 1.000_0.000, last 10 training episodes: mean/median length 141.1/134.0, mean/median reward 552.7/531.7, min/max reward 409.8/803.9
[RL] Updates 140, num timesteps 2310144, FPS 700, time 3300.1125786304474 
Weights 1.000_0.000, last 10 training episodes: mean/median length 159.9/137.5, mean/median reward 613.7/550.7, min/max reward 464.7/940.2
[RL] Updates 145, num timesteps 2392064, FPS 699, time 3420.0946311950684 
Weights 1.000_0.000, last 10 training episodes: mean/median length 173.8/185.0, mean/median reward 674.7/701.3, min/max reward 369.4/1110.2
[RL] Updates 150, num timesteps 2473984, FPS 699, time 3538.779221534729 
Weights 1.000_0.000, last 10 training episodes: mean/median length 146.1/135.5, mean/median reward 566.5/534.4, min/max reward 350.3/937.6
[RL] Updates 155, num timesteps 2555904, FPS 697, time 3661.868317127228 
Weights 1.000_0.000, last 10 training episodes: mean/median length 149.7/140.5, mean/median reward 586.9/549.7, min/max reward 356.0/905.8
[RL] Updates 160, num timesteps 2637824, FPS 697, time 3782.5666995048523 
Weights 1.000_0.000, last 10 training episodes: mean/median length 176.5/174.5, mean/median reward 676.4/656.7, min/max reward 445.5/1177.6
[RL] Updates 165, num timesteps 2719744, FPS 696, time 3903.7200570106506 
Weights 1.000_0.000, last 10 training episodes: mean/median length 152.2/138.5, mean/median reward 580.2/530.3, min/max reward 319.9/919.8
[RL] Updates 170, num timesteps 2801664, FPS 695, time 4026.014655828476 
Weights 1.000_0.000, last 10 training episodes: mean/median length 170.0/152.0, mean/median reward 673.0/584.0, min/max reward 330.0/1089.5
[RL] Updates 175, num timesteps 2883584, FPS 696, time 4137.335999727249 
Weights 1.000_0.000, last 10 training episodes: mean/median length 176.3/165.5, mean/median reward 685.6/628.3, min/max reward 502.4/1002.1
[RL] Updates 180, num timesteps 2965504, FPS 698, time 4242.536816358566 
Weights 1.000_0.000, last 10 training episodes: mean/median length 226.5/205.5, mean/median reward 890.8/785.7, min/max reward 599.1/1303.9
[RL] Updates 185, num timesteps 3047424, FPS 698, time 4363.410412788391 
Weights 1.000_0.000, last 10 training episodes: mean/median length 207.8/191.5, mean/median reward 796.1/754.7, min/max reward 556.4/1223.7
[RL] Updates 190, num timesteps 3129344, FPS 698, time 4482.933725357056 
Weights 1.000_0.000, last 10 training episodes: mean/median length 203.8/170.5, mean/median reward 796.2/663.1, min/max reward 474.1/1335.7
--------------- EPISODE 0 ---------------
[Stats] step = 0 FPS = 0.0
[RL] Updates 0, num timesteps 16384, FPS 619, time 26.441553115844727 
Weights 0.400_0.600, last 10 training episodes: mean/median length 19.7/17.0, mean/median reward -11.4/-10.7, min/max reward -19.4/-7.9
[RL] Updates 5, num timesteps 98304, FPS 732, time 134.11778783798218 
Weights 0.400_0.600, last 10 training episodes: mean/median length 28.2/19.0, mean/median reward -14.2/-10.7, min/max reward -31.7/-5.3
[RL] Updates 10, num timesteps 180224, FPS 734, time 245.2108278274536 
Weights 0.400_0.600, last 10 training episodes: mean/median length 25.6/18.0, mean/median reward -11.0/-8.5, min/max reward -27.7/-2.9
[RL] Updates 15, num timesteps 262144, FPS 740, time 353.77915620803833 
Weights 0.400_0.600, last 10 training episodes: mean/median length 16.0/16.0, mean/median reward -5.3/-5.6, min/max reward -9.2/-1.0
[RL] Updates 20, num timesteps 344064, FPS 747, time 460.2598149776459 
Weights 0.400_0.600, last 10 training episodes: mean/median length 15.8/16.0, mean/median reward -4.3/-4.2, min/max reward -9.6/1.6
[RL] Updates 25, num timesteps 425984, FPS 751, time 566.5929307937622 
Weights 0.400_0.600, last 10 training episodes: mean/median length 16.2/16.0, mean/median reward -1.5/-0.6, min/max reward -7.5/2.8
[RL] Updates 30, num timesteps 507904, FPS 753, time 673.9602484703064 
Weights 0.400_0.600, last 10 training episodes: mean/median length 16.7/16.0, mean/median reward 0.1/0.9, min/max reward -4.9/2.9
[RL] Updates 35, num timesteps 589824, FPS 752, time 783.9197039604187 
Weights 0.400_0.600, last 10 training episodes: mean/median length 17.7/17.0, mean/median reward 2.7/3.4, min/max reward -1.2/4.5
[RL] Updates 40, num timesteps 671744, FPS 752, time 893.2308056354523 
Weights 0.400_0.600, last 10 training episodes: mean/median length 17.8/17.0, mean/median reward 4.4/3.5, min/max reward 1.2/9.2
[RL] Updates 45, num timesteps 753664, FPS 750, time 1004.0055711269379 
Weights 0.400_0.600, last 10 training episodes: mean/median length 24.6/20.5, mean/median reward 13.5/10.6, min/max reward 2.6/49.4
[RL] Updates 50, num timesteps 835584, FPS 748, time 1115.7024002075195 
Weights 0.400_0.600, last 10 training episodes: mean/median length 40.2/39.0, mean/median reward 27.6/31.1, min/max reward 9.5/44.0
[RL] Updates 55, num timesteps 917504, FPS 745, time 1230.2386944293976 
Weights 0.400_0.600, last 10 training episodes: mean/median length 47.1/49.0, mean/median reward 34.0/35.2, min/max reward 19.5/41.5
[RL] Updates 60, num timesteps 999424, FPS 744, time 1343.1421658992767 
Weights 0.400_0.600, last 10 training episodes: mean/median length 61.8/57.5, mean/median reward 49.5/47.3, min/max reward 37.2/69.1
[RL] Updates 65, num timesteps 1081344, FPS 741, time 1457.5545046329498 
Weights 0.400_0.600, last 10 training episodes: mean/median length 62.5/59.0, mean/median reward 59.0/61.2, min/max reward 46.5/74.6
[RL] Updates 70, num timesteps 1163264, FPS 740, time 1571.202278137207 
Weights 0.400_0.600, last 10 training episodes: mean/median length 76.0/75.5, mean/median reward 78.5/74.7, min/max reward 45.1/140.0
[RL] Updates 75, num timesteps 1245184, FPS 738, time 1686.6114590168 
Weights 0.400_0.600, last 10 training episodes: mean/median length 73.5/75.0, mean/median reward 86.6/86.7, min/max reward 48.6/107.8
[RL] Updates 80, num timesteps 1327104, FPS 737, time 1799.9638698101044 
Weights 0.400_0.600, last 10 training episodes: mean/median length 73.1/75.0, mean/median reward 94.5/99.0, min/max reward 51.9/119.6
[RL] Updates 85, num timesteps 1409024, FPS 735, time 1915.5643103122711 
Weights 0.400_0.600, last 10 training episodes: mean/median length 94.2/89.5, mean/median reward 126.3/122.1, min/max reward 103.5/164.6
[RL] Updates 90, num timesteps 1490944, FPS 733, time 2032.0903205871582 
Weights 0.400_0.600, last 10 training episodes: mean/median length 90.7/92.0, mean/median reward 125.8/120.5, min/max reward 71.8/159.8
[RL] Updates 95, num timesteps 1572864, FPS 732, time 2147.405049562454 
Weights 0.400_0.600, last 10 training episodes: mean/median length 87.0/96.0, mean/median reward 127.9/140.4, min/max reward 70.5/163.5
[RL] Updates 100, num timesteps 1654784, FPS 730, time 2263.92516541481 
Weights 0.400_0.600, last 10 training episodes: mean/median length 104.8/112.5, mean/median reward 169.4/177.0, min/max reward 86.2/260.1
[RL] Updates 105, num timesteps 1736704, FPS 729, time 2382.1598329544067 
Weights 0.400_0.600, last 10 training episodes: mean/median length 105.0/96.5, mean/median reward 164.3/154.5, min/max reward 120.5/239.6
[RL] Updates 110, num timesteps 1818624, FPS 728, time 2497.654827594757 
Weights 0.400_0.600, last 10 training episodes: mean/median length 100.7/93.5, mean/median reward 175.1/169.8, min/max reward 138.8/212.7
[RL] Updates 115, num timesteps 1900544, FPS 726, time 2616.1916630268097 
Weights 0.400_0.600, last 10 training episodes: mean/median length 133.7/137.0, mean/median reward 236.9/246.5, min/max reward 124.3/387.6
[RL] Updates 120, num timesteps 1982464, FPS 724, time 2734.989401578903 
Weights 0.400_0.600, last 10 training episodes: mean/median length 119.7/111.5, mean/median reward 219.3/209.6, min/max reward 162.7/280.8
[RL] Updates 125, num timesteps 2064384, FPS 722, time 2855.7826738357544 
Weights 0.400_0.600, last 10 training episodes: mean/median length 146.0/151.0, mean/median reward 281.6/286.6, min/max reward 180.1/353.9
[RL] Updates 130, num timesteps 2146304, FPS 721, time 2976.0244052410126 
Weights 0.400_0.600, last 10 training episodes: mean/median length 143.0/135.5, mean/median reward 267.6/240.0, min/max reward 163.1/444.7
[RL] Updates 135, num timesteps 2228224, FPS 719, time 3097.2983276844025 
Weights 0.400_0.600, last 10 training episodes: mean/median length 138.0/135.5, mean/median reward 274.7/281.3, min/max reward 161.1/390.5
[RL] Updates 140, num timesteps 2310144, FPS 717, time 3218.210839986801 
Weights 0.400_0.600, last 10 training episodes: mean/median length 183.3/178.0, mean/median reward 376.5/361.8, min/max reward 240.4/527.3
[RL] Updates 145, num timesteps 2392064, FPS 715, time 3341.431368112564 
Weights 0.400_0.600, last 10 training episodes: mean/median length 151.2/148.0, mean/median reward 316.4/305.9, min/max reward 211.8/481.6
[RL] Updates 150, num timesteps 2473984, FPS 713, time 3466.7424013614655 
Weights 0.400_0.600, last 10 training episodes: mean/median length 192.7/192.0, mean/median reward 404.0/403.1, min/max reward 293.2/550.4
[RL] Updates 155, num timesteps 2555904, FPS 711, time 3590.3490903377533 
Weights 0.400_0.600, last 10 training episodes: mean/median length 258.4/255.0, mean/median reward 561.9/532.3, min/max reward 305.0/874.3
[RL] Updates 160, num timesteps 2637824, FPS 709, time 3718.4869215488434 
Weights 0.400_0.600, last 10 training episodes: mean/median length 224.7/221.0, mean/median reward 499.9/493.9, min/max reward 279.3/826.2
[RL] Updates 165, num timesteps 2719744, FPS 706, time 3848.4176251888275 
Weights 0.400_0.600, last 10 training episodes: mean/median length 210.1/196.0, mean/median reward 476.4/438.5, min/max reward 308.0/751.7
[RL] Updates 170, num timesteps 2801664, FPS 702, time 3990.2803552150726 
Weights 0.400_0.600, last 10 training episodes: mean/median length 289.1/271.0, mean/median reward 685.0/651.1, min/max reward 369.5/1015.6
[RL] Updates 175, num timesteps 2883584, FPS 697, time 4136.453281402588 
Weights 0.400_0.600, last 10 training episodes: mean/median length 395.0/377.5, mean/median reward 936.1/905.4, min/max reward 436.4/1472.0
[RL] Updates 180, num timesteps 2965504, FPS 693, time 4276.51486325264 
Weights 0.400_0.600, last 10 training episodes: mean/median length 307.2/303.0, mean/median reward 716.4/689.3, min/max reward 424.9/1075.6
[RL] Updates 185, num timesteps 3047424, FPS 686, time 4436.457098722458 
Weights 0.400_0.600, last 10 training episodes: mean/median length 430.4/359.5, mean/median reward 1045.2/872.6, min/max reward 590.2/2382.9
[RL] Updates 190, num timesteps 3129344, FPS 680, time 4596.630048274994 
Weights 0.400_0.600, last 10 training episodes: mean/median length 534.1/541.5, mean/median reward 1348.7/1379.9, min/max reward 663.9/2084.1
--------------- EPISODE 0 ---------------
[Stats] step = 0 FPS = 0.0
[RL] Updates 0, num timesteps 16384, FPS 615, time 26.626555681228638 
Weights 0.200_0.800, last 10 training episodes: mean/median length 18.6/17.0, mean/median reward -30.5/-28.0, min/max reward -47.9/-23.9
[RL] Updates 5, num timesteps 98304, FPS 730, time 134.54977464675903 
Weights 0.200_0.800, last 10 training episodes: mean/median length 16.9/17.0, mean/median reward -28.0/-29.0, min/max reward -33.3/-19.6
[RL] Updates 10, num timesteps 180224, FPS 731, time 246.5301070213318 
Weights 0.200_0.800, last 10 training episodes: mean/median length 16.9/16.5, mean/median reward -27.0/-26.5, min/max reward -35.7/-18.8
[RL] Updates 15, num timesteps 262144, FPS 735, time 356.1917335987091 
Weights 0.200_0.800, last 10 training episodes: mean/median length 15.4/15.0, mean/median reward -23.8/-24.0, min/max reward -27.0/-20.2
[RL] Updates 20, num timesteps 344064, FPS 742, time 463.487185716629 
Weights 0.200_0.800, last 10 training episodes: mean/median length 15.1/15.0, mean/median reward -21.6/-21.3, min/max reward -24.9/-19.6
[RL] Updates 25, num timesteps 425984, FPS 742, time 573.3616073131561 
Weights 0.200_0.800, last 10 training episodes: mean/median length 14.9/15.0, mean/median reward -16.7/-16.8, min/max reward -21.7/-11.1
[RL] Updates 30, num timesteps 507904, FPS 744, time 682.2832686901093 
Weights 0.200_0.800, last 10 training episodes: mean/median length 14.8/15.0, mean/median reward -14.4/-13.3, min/max reward -19.8/-6.1
[RL] Updates 35, num timesteps 589824, FPS 746, time 790.638692855835 
Weights 0.200_0.800, last 10 training episodes: mean/median length 15.2/15.0, mean/median reward -11.4/-11.1, min/max reward -15.4/-4.8
[RL] Updates 40, num timesteps 671744, FPS 747, time 898.5117745399475 
Weights 0.200_0.800, last 10 training episodes: mean/median length 15.1/15.0, mean/median reward -9.5/-9.2, min/max reward -12.7/-6.4
[RL] Updates 45, num timesteps 753664, FPS 748, time 1006.252468585968 
Weights 0.200_0.800, last 10 training episodes: mean/median length 15.2/15.0, mean/median reward -5.0/-5.7, min/max reward -10.5/0.3
[RL] Updates 50, num timesteps 835584, FPS 749, time 1115.0812675952911 
Weights 0.200_0.800, last 10 training episodes: mean/median length 15.2/15.0, mean/median reward 2.7/3.3, min/max reward -5.8/9.1
[RL] Updates 55, num timesteps 917504, FPS 748, time 1225.557960510254 
Weights 0.200_0.800, last 10 training episodes: mean/median length 15.6/16.0, mean/median reward 6.9/7.1, min/max reward 1.6/10.7
[RL] Updates 60, num timesteps 999424, FPS 749, time 1333.6551792621613 
Weights 0.200_0.800, last 10 training episodes: mean/median length 16.1/16.0, mean/median reward 14.6/13.9, min/max reward 9.5/23.3
[RL] Updates 65, num timesteps 1081344, FPS 749, time 1442.520491361618 
Weights 0.200_0.800, last 10 training episodes: mean/median length 19.2/18.5, mean/median reward 24.2/24.0, min/max reward 19.7/30.1
[RL] Updates 70, num timesteps 1163264, FPS 748, time 1554.4323418140411 
Weights 0.200_0.800, last 10 training episodes: mean/median length 38.1/36.0, mean/median reward 54.8/56.0, min/max reward 33.7/73.1
[RL] Updates 75, num timesteps 1245184, FPS 745, time 1669.8109226226807 
Weights 0.200_0.800, last 10 training episodes: mean/median length 60.2/53.0, mean/median reward 94.3/84.0, min/max reward 56.8/135.8
[RL] Updates 80, num timesteps 1327104, FPS 743, time 1785.848608970642 
Weights 0.200_0.800, last 10 training episodes: mean/median length 76.6/74.5, mean/median reward 134.9/134.4, min/max reward 102.0/165.8
[RL] Updates 85, num timesteps 1409024, FPS 739, time 1904.744240283966 
